measurement,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
128.0,0.12243652,-0.02734375,0.03265381,-87.01527,-67.43511,-235.82443,257.0,-29299.0,0.0
129.0,0.13476562,-0.03540039,0.036071777,-77.32825,-76.71756,-250.1374,257.0,-29299.0,0.0
130.0,0.1519165,-0.046813965,0.04638672,-41.068703,-85.0687,-250.1374,257.0,-29299.0,0.0
131.0,0.18200684,-0.053588867,0.03515625,11.206107,-91.89313,-250.1374,257.0,-29299.0,0.0
132.0,0.19506836,-0.044555664,0.00970459,55.778625,-85.78626,-250.1374,257.0,-29299.0,0.0
133.0,0.18377686,-0.025756836,0.0033569336,55.946564,-59.53435,-243.35878,257.0,-29299.0,0.0
134.0,0.16955566,-0.008972168,0.019470215,14.0992365,-55.78626,-166.83206,257.0,-29299.0,0.0
135.0,0.17803955,0.012451172,0.03338623,-45.89313,-57.709923,-89.23664,257.0,-29299.0,0.0
136.0,0.18170166,-0.0017700195,0.032958984,-107.23664,-53.633587,-46.35878,257.0,-29299.0,0.0
137.0,0.17388916,-0.024047852,0.026428223,-150.7481,-51.70229,-21.19084,257.0,-29299.0,0.0
138.0,0.1519165,-0.047607422,0.02355957,-151.81679,-45.946564,-29.404581,257.0,-29299.0,0.0
139.0,0.12921143,-0.062438965,0.026000977,-104.541985,-37.114502,-54.664124,257.0,-29299.0,0.0
140.0,0.10784912,-0.055541992,0.03363037,-41.923664,-28.89313,-70.33588,257.0,-29299.0,0.0
141.0,0.09667969,-0.04486084,0.037353516,5.1755724,-24.57252,-84.41222,257.0,-29299.0,0.0
142.0,0.09851074,-0.03845215,0.046813965,19.51145,-27.06107,-93.45038,257.0,-29299.0,0.0
143.0,0.11071777,-0.031982422,0.046325684,10.2213745,-26.671755,-94.938934,257.0,-29299.0,0.0
144.0,0.12347412,-0.030578613,0.048339844,-14.7786255,-22.992367,-92.63359,257.0,-29299.0,0.0
145.0,0.13482666,-0.03363037,0.049926758,-40.52672,-15.274809,-86.16794,257.0,-29299.0,0.0
146.0,0.14776611,-0.04638672,0.04901123,-52.541985,-9.961832,-82.862595,257.0,-29299.0,0.0
147.0,0.1619873,-0.053833008,0.024597168,-40.93893,2.0458016,-69.98473,257.0,-29299.0,0.0
148.0,0.14117432,-0.060058594,0.047424316,-10.801527,8.992367,-54.541985,257.0,-29299.0,0.0
149.0,0.14337158,-0.05706787,0.04925537,18.580153,8.572519,-21.603054,257.0,-29299.0,0.0
150.0,0.1359253,-0.052612305,0.053833008,45.770992,20.549618,24.839695,257.0,-29042.0,0.0
151.0,0.1329956,-0.048950195,0.046142578,67.91603,28.282442,65.94656,257.0,-29042.0,0.0
152.0,0.12213135,-0.03753662,0.039001465,73.03817,53.44275,107.54962,257.0,-29042.0,0.0
153.0,0.13421631,-0.034973145,0.030151367,73.770996,62.625954,132.42747,257.0,-29042.0,0.0
154.0,0.16113281,-0.026855469,0.020812988,78.0458,86.99236,148.87022,257.0,-29042.0,0.0
155.0,0.18243408,-0.024902344,0.016662598,81.1145,103.73283,165.96184,257.0,-29042.0,0.0
156.0,0.21160889,-0.019348145,0.011474609,57.351147,119.29008,178.53435,257.0,-29042.0,0.0
157.0,0.21099854,-0.014404297,0.011230469,21.908398,129.9084,193.18321,257.0,-29042.0,0.0
158.0,0.19689941,-0.0072021484,0.013305664,-38.007633,105.24428,212.9771,257.0,-29042.0,0.0
159.0,0.19036865,-0.007751465,0.0119018555,-92.12214,76.099236,229.07634,257.0,-29042.0,0.0
160.0,0.17193604,-0.016540527,0.00982666,-111.229004,44.389313,240.48856,257.0,-29042.0,0.0
161.0,0.14892578,-0.028076172,0.009155273,-96.0687,19.068703,237.03816,257.0,-29042.0,0.0
162.0,0.12878418,-0.034240723,0.01171875,-47.49618,-3.7557251,224.0687,257.0,-29042.0,0.0
163.0,0.10821533,-0.036865234,0.02368164,18.89313,-11.557252,211.06107,257.0,-29042.0,0.0
164.0,0.095336914,-0.03466797,0.028564453,82.496185,-12.488549,192.54962,257.0,-29042.0,0.0
